SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
24748,"76050","1","Marvel Super Heroes","Captain America: Civil War","2016","Crossbones' Hazard Heist",3,179,19.99,19.99,24.99,17.49,"https://images.brickset.com/sets/images/76050-1.jpg",5379,1164
25657,"76051","1","Marvel Super Heroes","Captain America: Civil War","2016","Super Hero Airport Battle",7,807,74.99,79.99,99.99,79.99,"https://images.brickset.com/sets/images/76051-1.jpg",5353,1711
26207,"76060","1","Marvel Super Heroes","Miscellaneous","2016","Doctor Strange's Sanctum Sanctorum",3,358,29.99,29.99,39.99,34.99,"https://images.brickset.com/sets/images/76060-1.jpg",5401,1381
25891,"76067","1","Marvel Super Heroes","Captain America: Civil War","2016","Tanker Truck Takedown",4,330,39.99,29.99,39.99,34.99,"https://images.brickset.com/sets/images/76067-1.jpg",2799,1487
26553,"76079","1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2","2017","Ravager Attack",3,197,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76079-1.jpg",3981,907
26554,"76080","1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2","2017","Ayesha's Revenge",4,323,29.99,29.99,39.99,34.99,"https://images.brickset.com/sets/images/76080-1.jpg",4151,1017
26555,"76081","1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2","2017","The Milano vs. The Abilisk",5,460,44.99,49.99,64.99,49.99,"https://images.brickset.com/sets/images/76081-1.jpg",3925,1127
26700,"76082","1","Marvel Super Heroes","Spider-Man: Homecoming","2017","ATM Heist Battle",3,185,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76082-1.jpg",2256,986
26701,"76083","1","Marvel Super Heroes","Spider-Man: Homecoming","2017","Beware the Vulture",4,375,44.99,39.99,49.99,39.99,"https://images.brickset.com/sets/images/76083-1.jpg",3117,1276
26702,"76084","1","Marvel Super Heroes","Thor: Ragnarok","2017","The Ultimate Battle for Asgard",6,400,49.99,49.99,64.99,49.99,"https://images.brickset.com/sets/images/76084-1.jpg",2558,1111
26706,"76088","1","Marvel Super Heroes","Thor: Ragnarok","2017","Thor vs. Hulk: Arena Clash",5,492,54.99,59.99,74.99,59.99,"https://images.brickset.com/sets/images/76088-1.jpg",2131,1134
27514,"76099","1","Marvel Super Heroes","Black Panther","2018","Rhino Face-Off by the Mine",3,229,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76099-1.jpg",2242,902
27515,"76100","1","Marvel Super Heroes","Black Panther","2018","Royal Talon Fighter Attack",4,358,29.99,29.99,39.99,34.99,"https://images.brickset.com/sets/images/76100-1.jpg",1904,970
27434,"76101","1","Marvel Super Heroes","Avengers: Infinity War","2018","Outrider Dropship Attack",4,124,11.99,14.99,15.99,14.99,"https://images.brickset.com/sets/images/76101-1.jpg",2952,991
27435,"76102","1","Marvel Super Heroes","Avengers: Infinity War","2018","Thor's Weapon Quest",3,223,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76102-1.jpg",3403,1161
27436,"76103","1","Marvel Super Heroes","Avengers: Infinity War","2018","Corvus Glaive Thresher Attack",5,416,34.99,39.99,49.99,39.99,"https://images.brickset.com/sets/images/76103-1.jpg",1870,1178
27437,"76104","1","Marvel Super Heroes","Avengers: Infinity War","2018","The Hulkbuster Smash-Up",4,375,29.99,29.99,39.99,34.99,"https://images.brickset.com/sets/images/76104-1.jpg",2665,1284
27831,"76105","1","Marvel Super Heroes","Avengers: Age of Ultron","2018","The Hulkbuster: Ultron Edition",1,1363,119.99,119.99,149.99,129.99,"https://images.brickset.com/sets/images/76105-1.jpg",1975,1791
27438,"76107","1","Marvel Super Heroes","Avengers: Infinity War","2018","Thanos: Ultimate Battle",4,674,69.99,69.99,89.99,79.99,"https://images.brickset.com/sets/images/76107-1.jpg",2433,1512
27439,"76108","1","Marvel Super Heroes","Avengers: Infinity War","2018","Sanctum Sanctorum Showdown",5,1004,89.99,99.99,129.99,99.99,"https://images.brickset.com/sets/images/76108-1.jpg",2310,2364
28072,"76109","1","Marvel Super Heroes","Ant-Man","2018","Quantum Realm Explorers",3,200,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76109-1.jpg",1329,1433
9661,"5000022","1","Marvel Super Heroes","Avengers","2012","The Hulk",1,4,,,,,"https://images.brickset.com/sets/images/5000022-1.jpg",3821,1856
24016,"5002145","1","Marvel Super Heroes","Guardians of the Galaxy","2014","Rocket Raccoon",1,13,4.99,4.99,,,"https://images.brickset.com/sets/images/5002145-1.jpg",4658,1569
24347,"5002943","1","Marvel Super Heroes","Miscellaneous","2015","Winter Soldier",1,4,,,,,"https://images.brickset.com/sets/images/5002943-1.jpg",5327,1314
25011,"5002946","1","Marvel Super Heroes","Avengers: Age of Ultron","2016","Silver Centurion",1,12,,,,,"https://images.brickset.com/sets/images/5002946-1.jpg",2322,1806
24890,"5003084","1","Marvel Super Heroes","Avengers: Age of Ultron","2015","The Hulk",1,27,4.99,,,4.99,"https://images.brickset.com/sets/images/5003084-1.jpg",2708,1051
27986,"5005244","1","Gear","Key Chains/Super Heroes","2018","Teen Groot",,,,,,,"https://images.brickset.com/sets/images/5005244-1.jpg",953,237
28002,"5005573","1","Gear","Posters","2018","Custom Marvel Art Print",,,,,,,"https://images.brickset.com/sets/images/5005573-1.jpg",553,59
28020,"5005574","1","Gear","Posters","2018","Hulkbuster art print",,,,,,,"https://images.brickset.com/sets/images/5005574-1.jpg",336,34
23749,"COMCON034","1","Marvel Super Heroes","Guardians of the Galaxy","2014","Rocket Raccoon's Warbird",1,145,,39.99,,,"https://images.brickset.com/sets/images/COMCON034-1.jpg",244,1515
23750,"COMCON035","1","Marvel Super Heroes","Guardians of the Galaxy","2014","The Collector",1,8,,,,,"https://images.brickset.com/sets/images/COMCON035-1.jpg",277,1679
24597,"SDCC2015","1","Marvel Super Heroes","Avengers: Age of Ultron","2015","Throne of Ultron",4,203,,39.99,,,"https://images.brickset.com/sets/images/SDCC2015-1.jpg",250,1634
